customer_id,customer,city,state,country,age
AA-103750,Alexandra Rivera,Santa Monica,California,United States,18
AA-103751,Ashlee Raje,Wollongong,New South Wales,Australia,50
AA-103752,Alexandra Rodriguez,Oak Bay,British Columbia,Canada,44
AA-103753,Cindy Weber,Morangis,Essonne,France,76
AA-103754,Caleb Wright,Yakima,Washington,United States,34
AA-103755,Alexandra Scott,Woodburn,Oregon,United States,42
AA-103756,Chloe Scott,San Gabriel,California,United States,21
AA-103757,Anna Rogers,Goulburn,New South Wales,Australia,78
AA-103758,Jackson Perez,Marysville,Washington,United States,55
AA-103759,Aimee Ma,Berlin,Nordrhein-Westfalen,Germany,57
AA-104800,Allison Howard,Downey,California,United States,73
AA-104801,Miguel Adams,Sooke,British Columbia,Canada,39
AA-104802,Alisha Tang,Boulogne-sur-Mer,Pas de Calais,France,29
AA-104803,Brandon Foster,Los Angeles,California,United States,74
AA-104804,Cameron Lal,Beverly Hills,California,United States,50
AA-104805,Alexia Hughes,Bellingham,Washington,United States,36
AA-104807,Jenny Luo,Colomiers,Garonne (Haute),France,44
AA-104808,Katherine Perez,N. Vancouver,British Columbia,Canada,82
AA-104809,Julia Martin,Renton,Washington,United States,62
AA-106450,Jodi Chapman,Warrnambool,Victoria,Australia,52
AA-106452,Clarence Andersen,Mühlheim,Hamburg,Germany,70
AA-106455,Jill Ashe,Colombes,Hauts de Seine,France,47
AA-106456,Richard Lopez,Neunkirchen,Saarland,Germany,18
AA-106459,Jonathon Moreno,Burien,Washington,United States,33
AB-100150,Allison Cox,Walla Walla,Washington,United States,51
AB-100151,Andrea Roberts,Newport Beach,California,United States,67
AB-100152,Alex Lopez,Concord,California,United States,34
AB-100153,Hector Ramos,Paderborn,Hamburg,Germany,26
AB-100154,Damien Liang,Townsville,Queensland,Australia,60
AB-100155,Eduardo Williams,Olympia,Washington,United States,77
AB-100156,Autumn Lin,Lavender Bay,New South Wales,Australia,52
AB-100157,Kyle Russell,Lakewood,California,United States,59
AB-100158,Jenny Zeng,Paderborn,Nordrhein-Westfalen,Germany,69
AB-100159,Billy Carlson,South Melbourne,Victoria,Australia,47
AB-100600,Levi Sara,Peterborough,England,United Kingdom,46
AB-100601,Douglas Malhotra,Melton,Victoria,Australia,56
AB-100605,Shawna Jai,Birmingham,England,United Kingdom,30
AB-100606,Kevin Perez,Sunbury,Victoria,Australia,72
AB-100608,Crystal Lu,Geelong,Victoria,Australia,39
AB-101050,Adam Wang,Spokane,Washington,United States,80
AB-101051,Craig Ramos,Lane Cove,New South Wales,Australia,74
AB-101052,Allison Adams,Roubaix,Nord,France,56
AB-101053,Audrey Torres,Newcastle upon Tyne,England,United Kingdom,72
AB-101054,Austin Simmons,Santa Monica,California,United States,57
AB-101055,Diana Torres,Beaverton,Oregon,United States,41
AB-101056,Janelle Lopez,Woolston,England,United Kingdom,49
AB-101057,Alex Morris,Burien,Washington,United States,47
AB-101058,Bonnie Raje,North Ryde,New South Wales,Australia,55
AB-101059,Brent Lu,München,Hamburg,Germany,32
AB-101500,Dylan Moore,Metz,Moselle,France,79
AB-101501,Dominique Lopez,York,England,United Kingdom,57
AB-101502,Barbara Beck,Malabar,New South Wales,Australia,60
AB-101503,Anna Ramirez,Bellingham,Washington,United States,70
AB-101504,Ronald Prasad,Lieusaint,Seine et Marne,France,72
AB-101505,Amanda Edwards,Burlingame,California,United States,54
AB-101506,Brandy Srini,Sulzbach Taunus,Saarland,Germany,79
AB-101507,Timothy Mitchell,Downey,California,United States,77
AB-101508,Arturo Deng,North Ryde,New South Wales,Australia,24
AB-101509,Caitlin Morris,Watford,England,United Kingdom,27
AB-101650,Deborah Anand,Orleans,Loiret,France,45
AB-101651,Patricia Raman,Cranbourne,Victoria,Australia,38
AB-101652,Brandon Harris,Daly City,California,United States,65
AB-101653,Jennifer Garcia,Los Angeles,California,United States,62
AB-101654,Ernest Hu,Colma,California,United States,52
AB-101655,Colleen Kumar,Dunkerque,Nord,France,48
AB-101656,Colleen Zhou,Sunbury,Victoria,Australia,64
AB-101657,Ernest Liang,Courbevoie,Hauts de Seine,France,50
AB-101658,Caroline Ross,Mill Valley,California,United States,23
AB-101659,Amber Edwards,N. Vancouver,British Columbia,Canada,75
AB-106000,Steve Wagner,Paris,Seine (Paris),France,54
AB-106003,Timothy Parker,Sydney,New South Wales,Australia,58
AB-106005,Colleen Yuan,Bottrop,Nordrhein-Westfalen,Germany,36
AB-106007,Alberto Gill,Malabar,New South Wales,Australia,26
AB-106008,Anna James,Lakewood,California,United States,78
AB-106009,Angelica Barnes,Rockhampton,Queensland,Australia,65
AC-104200,Ebony Ashe,Matraville,New South Wales,Australia,36
AC-104201,Evelyn Srini,Cliffside,British Columbia,Canada,24
AC-104202,Bianca Wu,Cloverdale,South Australia,Australia,48
AC-104203,Adam Collins,Concord,California,United States,62
AC-104204,Miguel Garcia,San Diego,California,United States,50
AC-104205,Alexandria Ross,Santa Monica,California,United States,57
